,id,fecha,date,calidad,hora,minuto,aforo,x_lamina,y_lamina,tipo_salida,tramo,codigo_sensor_nivel,codigo_sensor_vel_sup,tipo_aforo,caudal_total,error_caudal,area_mojada,profundidad_media,perimetro_mojado,dispositivo,error_dispositivo,ancho_superficial,velocidad_promedio,radio_hidraulico,longitud,latitud,texto_1,texto_2,timestamp,updated,offset,item_fk_id,user_id
0,2,2016-10-25,2016-10-25 15:34:00,1.0,15.0,34.0,,7.5,0.4,siata-batimetria,,,,,1.76,,2.924,0.286,11.687,ott-c31,,10.75,0.602,0.25,-75.5831,6.1875,,,2019-02-06 12:39:12,2019-02-06 15:29:01,,297,4
1,3,2016-09-30,2016-09-30 14:26:00,1.0,14.0,26.0,,1.54,0.4,siata-batimetria,,,,,0.071,,0.362,0.194,2.187,ott-c31,,1.8,0.196,0.166,-75.638561111,6.153555556,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,125,1
2,4,2017-01-20,2017-01-20 11:45:00,1.0,11.0,45.0,,,,,,,,,0.0973787,,0.174535,0.124846,1.45391,ott-c31,,1.4,0.557932,0.120045,-75.638561111,6.153555556,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,125,1
3,5,2017-01-20,2017-01-20 11:14:00,1.0,11.0,14.0,,,,,,,,,0.07,,0.15,0.108462,1.36554,MF-PRO,,1.329,0.466667,0.109847,-75.638561111,6.153555556,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,125,1
4,6,2016-09-30,2016-09-30 11:54:00,1.0,11.0,54.0,,,,,,,,,4.43,,5.441,0.368,15.761,ott-c31,,14.76,0.814,0.345,-75.6267,6.153,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,301,1
5,7,2016-09-21,2016-09-21 10:35:00,1.0,10.0,35.0,,3.96,0.4,siata-batimetria,,,,,1.24446,,1.2905,0.363077,3.65192,ott-c31,,3.5,0.964322,0.353375,-75.6195,6.0499,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
6,8,2017-01-18,2017-01-18 11:36:00,1.0,11.0,36.0,,3.8,0.4,siata-batimetria,,,,,1.18643,,1.1703,0.345,3.47882,ott-c31,,3.36,1.01378,0.336407,-75.6195,6.0499,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
7,10,2016-10-04,2016-10-04 13:00:00,1.0,13.0,0.0,,12.6,0.4,siata-batimetria,,,,,2.72847,,2.599,0.228125,11.0191,ott-c31,,10.94,1.04982,0.235862,-75.633048,6.088251,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,109,1
8,11,2016-10-12,2016-10-12 11:50:00,1.0,11.0,50.0,,11.6,0.4,siata-batimetria,,,,,1.4124,,2.234,0.334706,6.85227,ott-c31,,6.4,0.632231,0.326023,-75.661333,6.1953667,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,91,1
9,12,2016-10-07,2016-10-07 12:25:00,1.0,12.0,25.0,,2.5,0.4,siata-batimetria,,,,,0.083,,0.549,0.216,2.965,ott-c31,,2.6,0.151,0.185,-75.5831,6.1875,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,297,1
10,14,2016-10-18,2016-10-18 12:40:00,1.0,12.0,40.0,,2.35,0.4,siata-batimetria,,,,,0.166239,,0.2445,0.122857,1.84283,ott-c31,,1.8,0.679914,0.132677,-75.550555556,6.306694444,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,119,1
11,16,2016-11-16,2016-11-16 13:05:00,1.0,13.0,5.0,,,,,,,,,0.092193,,0.4605,0.219286,2.21794,ott-c31,,1.95,0.200202,0.207625,-75.631616667,6.223116667,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,129,1
12,17,2016-10-26,2016-10-26 12:45:00,1.0,12.0,45.0,,3.8,0.4,siata-batimetria,,,,,0.404,,1.245,0.304,4.634,ott-c31,,4.2,0.324,0.269,-75.5560379028,6.3271746635,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,298,1
