,id,vertical,x,y,v01,v02,v03,v04,v05,v06,v07,v08,v09,vsup,vm,area_i,caudal_i,perimetro_i,timestamp,updated,fk_id,user_id
0,6176,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
1,6177,2.0,0.0,-0.1,,,,,,,,,,,,0.005,,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
2,6178,3.0,0.1,-0.12,,,,0.212295,,,,,,,0.212,0.012,0.003,0.102,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
3,6179,4.0,0.2,-0.16,,,,0.26364,,,,,,,0.264,0.016,0.004,0.108,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
4,6180,5.0,0.3,-0.16,,,,0.25875,,,,,,,0.259,0.016,0.004,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
5,6181,6.0,0.4,-0.16,,,,0.30276,,,,,,,0.303,0.016,0.005,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
6,6182,7.0,0.5,-0.17,,,,0.344325,,,,,,,0.344,0.017,0.006,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
7,6183,8.0,0.6,-0.15,,,,0.349215,,,,,,,0.349,0.015,0.005,0.102,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
8,6184,9.0,0.7,-0.13,,,,0.378555,,,,,,,0.379,0.013,0.005,0.102,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
9,6185,10.0,0.8,-0.12,,,,0.383445,,,,,,,0.383,0.012,0.005,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
10,6186,11.0,0.9,-0.14,,,,0.35166,,,,,,,0.352,0.021,0.007,0.102,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
11,6188,13.0,1.1,-0.12,,,,0.1,,,,,,,0.1,0.018,0.002,0.201,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
12,6189,14.0,1.2,-0.04,,,,0.1,,,,,,,0.1,0.004,0.0,0.128,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
13,6190,15.0,1.3,-0.04,,,,0.1,,,,,,,0.1,0.004,0.0,0.1,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
14,6191,16.0,1.4,-0.08,,,,0.1,,,,,,,0.1,0.008,0.001,0.108,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
15,6192,17.0,1.5,0.0,,,,,,,,,,,,0.0,,0.128,2019-02-06 12:39:19,2019-02-06 12:39:19,568,1
16,6193,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
17,6194,2.0,0.0,-0.2,,,,,,,,,,,,0.05,,0.2,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
18,6195,3.0,0.5,-0.18,,,,0.1761,,,,,,,0.176,0.135,0.024,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
19,6196,4.0,1.5,-0.23,,,,0.5379,,,,,,,0.538,0.23,0.124,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
20,6197,5.0,2.5,-0.28,,,,0.54795,,,,,,,0.548,0.28,0.153,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
21,6198,6.0,3.5,-0.22,,,,0.4039,,,,,,,0.404,0.22,0.089,1.002,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
22,6199,7.0,4.5,-0.13,,,,0.6183,,,,,,,0.618,0.13,0.08,1.004,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
23,6200,8.0,5.5,-0.15,,,,0.4441,,,,,,,0.444,0.15,0.067,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
24,6201,9.0,6.5,-0.17,,,,0.59485,,,,,,,0.595,0.17,0.101,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
25,6202,10.0,7.5,-0.2,,,,0.3436,,,,,,,0.344,0.2,0.069,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
26,6203,11.0,8.5,-0.25,,,,0.5245,,,,,,,0.525,0.16,0.084,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
27,6204,12.0,8.78,-0.12,,,,0.61495,,,,,,,0.615,0.036,0.022,0.309,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
28,6205,13.0,9.1,-0.09,,,,,,,,,,,,0.014,,0.321,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
29,6206,14.0,9.1,0.0,,,,,,,,,,,,0.0,,0.09,2019-02-06 12:39:19,2019-02-06 12:39:19,569,1
30,6207,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
31,6208,2.0,1.0,-0.28,,,,0.15,,,,,,,0.15,0.28,0.042,1.038,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
32,6209,3.0,2.0,-0.16,,,,0.17,,,,,,,0.17,0.16,0.027,1.007,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
33,6210,4.0,3.0,-0.17,,,,0.18,,,,,,,0.18,0.17,0.031,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
34,6211,5.0,4.0,-0.16,,,,0.19,,,,,,,0.19,0.16,0.03,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
35,6212,6.0,5.0,-0.17,,,,0.2,,,,,,,0.2,0.17,0.034,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
36,6213,7.0,6.0,-0.18,,,,0.23,,,,,,,0.23,0.18,0.041,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
37,6214,8.0,7.0,-0.2,,,,0.21,,,,,,,0.21,0.2,0.042,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
38,6215,9.0,8.0,-0.3,,,,0.27,,,,,,,0.27,0.3,0.081,1.005,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
39,6216,10.0,9.0,-0.33,,,,0.23,,,,,,,0.23,0.248,0.057,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
40,6217,11.0,9.5,0.0,,,,,,,,,,,,0.0,,0.599,2019-02-06 12:39:19,2019-02-06 12:39:19,570,1
41,6218,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
42,6219,2.0,1.0,-0.11,,,,0.073,,,,,,,0.073,0.11,0.008,1.006,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
43,6220,3.0,2.0,-0.16,,,,0.373,,,,,,,0.373,0.16,0.06,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
44,6221,4.0,3.0,-0.18,,,,0.401,,,,,,,0.401,0.18,0.072,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
45,6222,5.0,4.0,-0.1,,,,0.451,,,,,,,0.451,0.1,0.045,1.003,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
46,6223,6.0,5.0,-0.14,,,,0.514,,,,,,,0.514,0.14,0.072,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
47,6224,7.0,6.0,-0.16,,,,0.464,,,,,,,0.464,0.16,0.074,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
48,6225,8.0,7.0,-0.1,,,,0.476,,,,,,,0.476,0.1,0.048,1.002,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
49,6226,9.0,8.0,-0.07,,,,0.313,,,,,,,0.313,0.07,0.022,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
50,6227,10.0,9.0,-0.09,,,,0.25,,,,,,,0.25,0.09,0.022,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
51,6228,11.0,10.0,-0.12,,,,0.313,,,,,,,0.313,0.06,0.019,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
52,6229,12.0,10.0,0.0,,,,,,,,,,,,0.0,,0.12,2019-02-06 12:39:19,2019-02-06 12:39:19,571,1
53,6230,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
54,6231,2.0,1.0,-0.12,,,,0.301,,,,,,,0.301,0.12,0.036,1.007,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
55,6232,3.0,2.0,-0.2,,,,0.301,,,,,,,0.301,0.2,0.06,1.003,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
56,6233,4.0,3.0,-0.14,,,,0.338,,,,,,,0.338,0.14,0.047,1.002,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
57,6234,5.0,4.0,-0.16,,,,0.514,,,,,,,0.514,0.16,0.082,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
58,6235,6.0,5.0,-0.09,,,,0.814,,,,,,,0.814,0.09,0.073,1.002,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
59,6236,7.0,6.0,-0.19,,,,0.601,,,,,,,0.601,0.19,0.114,1.005,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
60,6237,8.0,7.0,-0.15,,,,0.539,,,,,,,0.539,0.15,0.081,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
61,6238,9.0,8.0,-0.05,,,,0.203,,,,,,,0.203,0.05,0.01,1.005,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
62,6239,10.0,9.0,-0.05,,,,0.231,,,,,,,0.231,0.05,0.012,1.0,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
63,6240,11.0,10.0,-0.11,,,,0.464,,,,,,,0.464,0.11,0.051,1.002,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
64,6241,12.0,11.0,-0.15,,,,0.288,,,,,,,0.288,0.075,0.022,1.001,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
65,6242,13.0,11.0,0.0,,,,,,,,,,,,0.0,,0.15,2019-02-06 12:39:19,2019-02-06 12:39:19,572,1
66,6243,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
67,6244,2.0,0.5,-0.2,,0.289,,0.224,,,,0.222,,,0.24,0.1,0.024,0.539,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
68,6245,3.0,1.0,-0.3,,0.659,,0.647,,,,0.587,,,0.635,0.15,0.095,0.51,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
69,6246,4.0,1.5,-0.39,,0.995,,0.915,,,,0.779,,,0.901,0.195,0.176,0.508,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
70,6247,5.0,2.0,-0.33,,0.776,,0.771,,,,0.413,,,0.683,0.165,0.113,0.504,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
71,6248,6.0,2.5,-0.22,,0.887,,0.794,,,,0.613,,,0.772,0.11,0.085,0.512,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
72,6249,7.0,3.0,-0.14,,0.501,,0.456,,,,0.37,,,0.446,0.07,0.031,0.506,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
73,6250,8.0,3.5,-0.16,,0.552,,0.481,,,,0.327,,,0.46,0.08,0.037,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
74,6251,9.0,4.0,-0.15,,0.66,,0.453,,,,0.42,,,0.497,0.075,0.037,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
75,6252,10.0,4.5,-0.17,,0.756,,0.609,,,,0.499,,,0.618,0.085,0.053,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
76,6253,11.0,5.0,-0.19,,0.85,,0.74,,,,0.699,,,0.757,0.095,0.072,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
77,6254,12.0,5.5,-0.24,,0.906,,0.85,,,,0.711,,,0.829,0.12,0.099,0.502,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
78,6255,13.0,6.0,-0.26,,,,0.784,,,,,,,0.784,0.065,0.051,0.5,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
79,6256,14.0,6.0,0.0,,,,,,,,,,,,0.0,,0.26,2019-02-06 12:39:19,2019-02-06 12:39:19,573,1
80,6257,1.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
81,6258,2.0,0.7,-0.216,,,,0.456825,,,,,,,0.457,0.151,0.069,0.733,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
82,6259,3.0,1.4,-0.392,,0.96051,,0.895935,,,,0.7797,,,0.883,0.274,0.242,0.722,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
83,6260,4.0,2.1,-0.288,,0.90885,,0.715125,,,,0.482655,,,0.705,0.202,0.142,0.708,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
84,6261,5.0,2.8,-0.21,,,,0.59889,,,,,,,0.599,0.147,0.088,0.704,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
85,6262,6.0,3.5,-0.1,,,,0.41808,,,,,,,0.418,0.07,0.029,0.709,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
86,6263,7.0,4.2,-0.08,,,,0.62472,,,,,,,0.625,0.056,0.035,0.7,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
87,6264,8.0,4.9,-0.12,,,,0.5214,,,,,,,0.521,0.084,0.044,0.701,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
88,6265,9.0,5.6,-0.11,,,,0.637635,,,,,,,0.638,0.077,0.049,0.7,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
89,6266,10.0,6.3,-0.184,,,,0.895935,,,,,,,0.896,0.129,0.116,0.704,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
90,6267,11.0,7.0,-0.24,,,,0.844275,,,,,,,0.844,0.168,0.142,0.702,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
91,6268,12.0,7.7,-0.272,,,,0.0,,,,,,,0.0,0.095,0.0,0.701,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
92,6269,13.0,7.7,0.0,,,,,,,,,,,,0.0,,0.272,2019-02-06 12:39:19,2019-02-06 12:39:19,574,1
93,6270,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
94,6271,2.0,0.25,-0.05,,,,0.0,,,,,,,0.0,0.012,0.0,0.255,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
95,6272,3.0,0.5,-0.08,,,,1.0806,,,,,,,1.081,0.02,0.022,0.252,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
96,6273,4.0,0.75,-0.08,,,,0.9935,,,,,,,0.994,0.02,0.02,0.25,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
97,6274,5.0,1.0,-0.08,,,,1.094,,,,,,,1.094,0.02,0.022,0.25,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
98,6275,6.0,1.25,-0.05,,,,0.4173,,,,,,,0.417,0.012,0.005,0.252,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
99,6276,7.0,1.5,0.0,,,,,,,,,,,,0.0,,0.255,2019-02-06 12:39:19,2019-02-06 12:39:19,575,1
100,6277,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
101,6278,2.0,0.58,-0.18,,,,0.27,,,,,,,0.27,0.079,0.021,0.607,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
102,6279,3.0,0.88,-0.22,,,,0.17,,,,,,,0.17,0.066,0.011,0.303,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
103,6280,4.0,1.18,-0.22,,,,0.2,,,,,,,0.2,0.066,0.013,0.3,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
104,6281,5.0,1.48,-0.26,,,,0.27,,,,,,,0.27,0.078,0.021,0.303,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
105,6282,6.0,1.78,-0.26,,,,0.12,,,,,,,0.12,0.078,0.009,0.3,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
106,6283,7.0,2.08,-0.36,,,,0.26,,,,,,,0.26,0.054,0.014,0.316,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
107,6284,8.0,2.08,0.0,,,,,,,,,,,,0.0,,0.36,2019-02-06 12:39:19,2019-02-06 12:39:19,576,1
