,id,codigo,nombre,direccion,tipo_sensor,vel_sup,area,subcuenca,barrio,source,l_cuenca,longitud_basin,fecha_instalacion,h_cauce_max,pend_cuenca,hmax,kml_path,l_cauce,perimetro,municipio,hmean,flag_modelo_estadistico,dpx,camara_path,rain_path,pic_path,latitud,polygon_path,centro_x,centro_y,pluvios,red,telefono_contacto,offset_old,flag_modelo_wmf,net_path,x_sensor,latitud_basin,sirena,offset,estado,clase,longitud,slug,nombre_contacto,hmin,pend_cauce,nc_path,stream_path,n1,n2,n3,n4,l_tot_cauces,timestamp,updated,user_id
0,2,27.0,Centro de Salud San Javier La Loma,Calle 55 a # 125 a 5,0.0,0.0,0.0,Q. La Hueso,,,0.0,0.0,2010-01-25,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.27178333333,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.6310333333,27-CentrodeSaludSanJavierLaLoma,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
1,3,29.0,Escuela Marina Orth,Belen Aguas Frias Parte Alta,0.0,0.0,0.0,Q. La Picacha,Belen Aguas Frias,,0.0,0.0,2010-01-25,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.232313518,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.6437739,29-EscuelaMarinaOrth,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
2,4,10.0,Escuela Rural El Boqueron,,0.0,0.0,0.0,Q. La Iguana,Boqueron,,0.0,0.0,2009-11-20,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.315333779,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.65762704,10-EscuelaRuralElBoqueron,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
3,5,5.0,I.E Santa Elena,,0.0,0.0,0.0,Q. Santa Elena,,,0.0,0.0,2009-11-13,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.206218921,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.49188333,5-IESantaElena,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
4,6,11.0,Escuela Rural Fabio Zuluaga,,0.0,0.0,0.0,Q. La Iguana,,,0.0,0.0,2009-11-20,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.273010981,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.65198889,11-EscuelaRuralFabioZuluaga,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
5,7,18.0,Escuela El Salado,Vereda El Salado,0.0,0.0,0.0,Q. Dona Maria,,,0.0,0.0,2010-01-14,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.211125487,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.67102544,18-EscuelaElSalado,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
6,8,23.0,Instituto Jorge Robledo,Calle 51 # 65-72 ,0.0,0.0,0.0,Q. La Iguana,Carlos E. Restrepo,,0.0,0.0,2010-01-18,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.257723607,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.58160881,23-InstitutoJorgeRobledo,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
7,9,20.0,Fundacion Hogares Claret,,0.0,0.0,0.0,Q. La Iguana,,,0.0,0.0,2010-01-18,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.294692114,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.61075046,20-FundacionHogaresClaret,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
8,10,7.0,Escuela Republica de Cuba,Calle 97 # 74-03 ,0.0,0.0,0.0,Q. Minitas,La Esperanza,,0.0,0.0,2009-11-17,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.293974177,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.57721404,7-EscuelaRepublicadeCuba,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
9,11,8.0,Escuela CEDEPRO,Calle 18 # 105-20 ,0.0,0.0,0.0,Q. Altavista,,,0.0,0.0,2009-11-19,0.0,0.0,0.0,,0.0,0.0,Medellin,,0.0,0.0,,,,6.219590339,,0.0,0.0,,pluviografica,0.0,0.0,0.0,,0.0,0.0,,0.0,A,Pluvio,-75.63623913,8-EscuelaCEDEPRO,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2019-02-06 12:39:11,2019-02-06 12:39:11,1
